jp,en
東シナ海,East China Sea
四国沖,Off Shikoku (Japan)
鳥島近海,Torishima Waters
鳥島東方沖,Off Eastern Torishima
オホーツク海南部,Okhotsk Sea South
サハリン西方沖,Off Western Sakhalin
日本海北部,Northern Sea of Japan
日本海中部,Central Sea of Japan
日本海西部,Western Sea of Japan
父島近海,Chichijima Waters
千島列島,Kuril Islands
千島列島南東沖,Off South Eastern Kuril Islands
北海道南東沖,Off South Eastern Hokkaido
東北地方東方沖,Off Eastern Tohoku
小笠原諸島西方沖,Off Western Ogasawara Islands
硫黄島近海,Iwo Jima waters
小笠原諸島東方沖,Off Eastern Ogasawara Islands
南海道南方沖,Off Southern Nankaido
薩南諸島東方沖,Off Eastern Satsunan Islands
本州南方沖,Off Southern Honshu
サハリン南部付近,Southern Sakhalin
北西太平洋,North Western Pacific Ocean
マリアナ諸島,Mariana Islands
黄海,Yellow Sea
朝鮮半島南部,South Korean Peninsula
朝鮮半島北部,North Korean Peninsula
中国東北部,North Eastern China
ウラジオストク付近,Near Vladivostok
シベリア南部,Southern Siberia
サハリン近海,Offshore Sakhalin
アリューシャン列島,Aleutian Islands
カムチャツカ半島付近,Near the Kamchatka Peninsula
北米西部,Western North America
北米中部,Central North America
北米東部,Eastern North America
中米,Central America
南米西部,Western South America
南米中部,Central South America
南米東部,Eastern South America
北東太平洋,North East Pacific Ocean
南太平洋,South Pacific Ocean
インドシナ半島付近,Near Indochina
フィリピン付近,Near The Philippines
インドネシア付近,Near Indonesia
グアム付近,Near Guam
ニューギニア付近,Near Papua New Guinea
ニュージーランド付近,Near New Zealand
オーストラリア付近,Near Australia
シベリア付近,Near Siberia
ロシア西部,Western Russia
ロシア中部,Central Russia
ロシア東部,Eastern Russia
中央アジア,Central Asia
中国西部,Western China
中国中部,Central China
中国東部,East China
インド付近,Near India
インド洋,The Indian Ocean
中東,Middle East
ヨーロッパ西部,Western Europe
ヨーロッパ中部,Central Europe
ヨーロッパ東部,Eastern Europe
地中海,Mediterranean Sea
アフリカ西部,Western Africa
アフリカ中部,Central Africa
アフリカ東部,Eastern Africa
北大西洋,Northern Atlantic Ocean
南大西洋,Southern Atlantic Ocean
北極付近,Near the North Pole
南極付近,Near Antarctica
